Date,Time,Network Type,inputFile1,inputFile2,inputFile3,inputFile4,Epochs,Image Dimension,Accuracy,Layers,Nodes,Kernal size
28/07/2017,22:09:52,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,,5,400,68.252641434261548,3,100,
28/07/2017,22:40:26,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,5,400,38.849370294061451,3,100,
29/07/2017,05:37:16,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,5,400,87.385886585862565,4,0,3
29/07/2017,09:09:00,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,72.651329309169114,4,0,3
29/07/2017,12:46:25,CNN,r1.0/ppJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,55.783986790945086,4,0,3
29/07/2017,16:02:48,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,71.184791071892022,4,0,3
29/07/2017,18:15:03,CNN,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,,,5,400,54.937679771527314,4,0,3
30/07/2017,22:05:24,CNN,r1.0/sampleBJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,51.140767701679003,4,0,3
31/07/2017,12:21:14,CNN,r1.0/sampleBJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,51.140767701679003,4,0,3
31/07/2017,12:30:11,CNN,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,53.46750159099625,4,0,3
31/07/2017,12:39:24,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,,,5,400,70.693460713303125,4,0,3
31/07/2017,12:41:03,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleDJetPre20.txt,,,3,400,71.635738385673491,4,0,3
31/07/2017,12:49:12,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,3,400,72.638069351969946,4,0,3
31/07/2017,12:52:39,CNN,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,,5,400,61.747428921125,4,0,3
31/07/2017,13:06:31,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleCJetPre20.txt,r1.0/sampleDJetPre20.txt,,5,400,65.921957455746508,4,0,3
31/07/2017,13:20:00,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,r1.0/sampleDJetPre20.txt,,5,400,66.948300784791954,4,0,3
31/07/2017,13:33:18,CNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,r1.0/sampleCJetPre20.txt,,5,400,66.914837149715751,4,0,3
31/07/2017,13:56:19,DNN,r1.0/ppJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,59.741962639160903,3,200,
31/07/2017,13:58:24,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,95.491538346786896,1,100,
31/07/2017,14:15:37,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,95.828015448111245,3,100,
31/07/2017,14:18:47,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleDJetPre20.txt,,,5,400,95.35102517518817,3,100,
31/07/2017,14:36:06,DNN,r1.0/sampleAJetPre20.txt,r1.0/sampleBJetPre20.txt,,,5,400,95.72690656544728,5,100,
